user_id,signup_date
1,2024-04-12
2,2024-09-27
3,2024-04-16
4,2024-03-12
5,2024-07-07
6,2024-01-21
7,2024-04-12
8,2024-05-01
9,2024-08-02
10,2024-03-28
11,2024-04-09
12,2024-05-31
13,2024-05-10
14,2024-05-29
15,2024-09-14
16,2024-10-20
17,2024-07-10
18,2024-10-03
19,2024-06-09
20,2024-01-22
21,2024-09-09
22,2024-08-23
23,2024-02-18
24,2024-02-28
25,2024-06-18
26,2024-07-06
27,2024-09-27
28,2024-07-08
29,2024-06-23
30,2024-02-20
31,2024-02-24
32,2024-08-31
33,2024-05-10
34,2024-05-14
35,2024-01-21
36,2024-06-15
37,2024-09-30
38,2024-03-29
39,2024-01-14
40,2024-08-29
41,2024-09-21
42,2024-02-22
43,2024-04-01
44,2024-09-20
45,2024-02-04
46,2024-07-24
47,2024-03-21
48,2024-02-19
49,2024-01-02
50,2024-02-23
51,2024-04-15
52,2024-09-16
53,2024-07-09
54,2024-08-05
55,2024-02-13
56,2024-06-10
57,2024-07-20
58,2024-09-26
59,2024-09-27
60,2024-08-02
61,2024-09-08
62,2024-07-08
63,2024-10-22
64,2024-07-31
65,2024-07-26
66,2024-08-24
67,2024-02-22
68,2024-10-06
69,2024-08-04
70,2024-09-08
71,2024-07-06
72,2024-02-10
73,2024-06-05
74,2024-01-15
75,2024-03-05
76,2024-01-09
77,2024-05-08
78,2024-05-15
79,2024-03-03
80,2024-05-18
81,2024-03-21
82,2024-06-11
83,2024-10-15
84,2024-09-17
85,2024-08-18
86,2024-02-10
87,2024-01-28
88,2024-05-14
89,2024-07-19
90,2024-09-24
91,2024-02-02
92,2024-02-17
93,2024-03-02
94,2024-08-03
95,2024-10-19
96,2024-04-08
97,2024-06-20
98,2024-08-01
99,2024-02-04
100,2024-08-14
101,2024-04-10
102,2024-05-10
103,2024-09-13
104,2024-01-05
105,2024-08-05
106,2024-09-11
107,2024-10-09
108,2024-07-25
109,2024-01-15
110,2024-02-11
111,2024-06-27
112,2024-03-03
113,2024-08-18
114,2024-08-28
115,2024-02-21
116,2024-04-05
117,2024-08-09
118,2024-08-18
119,2024-08-24
120,2024-05-22
121,2024-06-19
122,2024-01-29
123,2024-02-05
124,2024-01-13
125,2024-06-08
126,2024-07-05
127,2024-08-30
128,2024-03-26
129,2024-10-10
130,2024-03-06
131,2024-06-18
132,2024-02-14
133,2024-03-02
134,2024-05-13
135,2024-10-10
136,2024-01-28
137,2024-04-17
138,2024-02-13
139,2024-10-12
140,2024-05-07
141,2024-08-18
142,2024-07-08
143,2024-08-12
144,2024-10-09
145,2024-04-30
146,2024-04-25
147,2024-08-20
148,2024-09-15
149,2024-07-16
150,2024-05-16
151,2024-06-13
152,2024-08-12
153,2024-08-21
154,2024-06-20
155,2024-05-31
156,2024-06-08
157,2024-04-05
158,2024-08-20
159,2024-06-28
160,2024-04-22
161,2024-02-21
162,2024-09-24
163,2024-10-21
164,2024-04-22
165,2024-04-10
166,2024-04-22
167,2024-03-21
168,2024-07-05
169,2024-04-22
170,2024-01-02
171,2024-05-09
172,2024-08-07
173,2024-02-23
174,2024-08-11
175,2024-08-12
176,2024-05-05
177,2024-05-09
178,2024-02-22
179,2024-06-20
180,2024-08-05
181,2024-06-08
182,2024-07-16
183,2024-09-03
184,2024-07-21
185,2024-07-02
186,2024-05-02
187,2024-09-11
188,2024-10-20
189,2024-10-06
190,2024-04-07
191,2024-07-16
192,2024-08-27
193,2024-05-23
194,2024-04-06
195,2024-07-19
196,2024-05-03
197,2024-07-05
198,2024-09-15
199,2024-05-27
200,2024-09-08
